Group/Student,Sample ID,Plant name,Component,Retention Time (min),Time,Time Elapsed,Area,% Ethylene (C2H4) ,Fraction ethylene (vol/vol) ,Volume C2H4 removed (mL),Volume C2H4 remaining (mL),Headspace volume (mL),Mol C2H4 removed                 ,Mol C2H4 remaining          ,Total mol C2H4 produced,Total umol C2H4 produced
Anthony,Medicago polymorpha 1,Mpolymorpha,Acetylene,2.623,3:22:00 PM,0,87520.305,,,,,,,,,
Anthony,Medicago polymorpha 1,Mpolymorpha,Acetylene,2.616,3:48:00 PM,26,82112.9812,,,,,,,,,
Anthony,Medicago polymorpha 1,Mpolymorpha,Acetylene,2.646,4:30:00 PM,68,74546.461,,,,,,,,,
Anthony,Medicago polymorpha 1,Mpolymorpha,Acetylene,2.776,5:14:00 PM,112,95931.792,,,,,,,,,
Benson,Medicago polymorpha 2,Mpolymorpha,Acetylene,2.623,3:23:00 PM,0,81162.0306,,,,,,,,,
Benson,Medicago polymorpha 2,Mpolymorpha,Acetylene,2.723,3:53:00 PM,30,117014.0286,,,,,,,,,
Benson,Medicago polymorpha 2,Mpolymorpha,Acetylene,2.626,4:22:00 PM,59,85266.4286,,,,,,,,,
Benson,Medicago polymorpha 2,Mpolymorpha,Acetylene,2.65,4:56:00 PM,93,81657.0175,,,,,,,,,
Allison,Green Beans 3,green beans,Acetylene,2.61,3:35:00 PM,0,90779.9944,,,,,,,,,
Allison,Green Beans 3,green beans,Acetylene,2.616,4:01:00 PM,26,88932.9479,,,,,,,,,
Allison,Green Beans 3,green beans,Acetylene,2.633,4:36:00 PM,61,77957.9179,,,,,,,,,
Allison,Green Beans 3,green beans,Acetylene,2.833,5:06:00 PM,91,71867.456,,,,,,,,,
Joslyn + Kristan,Medicago polymorpha 3,Mpolymorpha,Acetylene,2.543,3:41:00 PM,0,88774.9146,,,,,,,,,
Joslyn + Kristan,Medicago polymorpha 3,Mpolymorpha,Acetylene,2.623,4:17:00 PM,36,81333.3036,,,,,,,,,
Joslyn + Kristan,Medicago polymorpha 3,Mpolymorpha,Acetylene,2.64,4:49:00 PM,68,79327.4492,,,,,,,,,
Joslyn + Kristan,Medicago polymorpha 3,Mpolymorpha,Acetylene,2.676,5:22:00 PM,101,67804.5066,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
